sistema_ensino,tipo_escola,uf,nome_escola,codigo_curso,nome_curso,oferta,eixo_tecnologico,modalidade,data_criacao,carga_horaria_toral,modalidade_ensino,status_curso,tipo_oferta,vagas_ofertas,qtd_de_matriculas
Federal,Escolas Técnicas,SP,SENAC JUNDIAI,4,Maquiador,Concomitante,Ambiente e Saúde,Educação Presencial,19AUG19:12:59:00,160,Educação Presencial,Concluído,2,,18
Federal,Escolas Técnicas,SP,SENAC JUNDIAI,4,Maquiador,Concomitante,Ambiente e Saúde,Educação Presencial,19AUG19:12:59:00,160,Educação Presencial,Concluído,2,,18
Federal,Escolas Técnicas,SP,SENAC JUNDIAI,4,Maquiador,Concomitante,Ambiente e Saúde,Educação Presencial,19AUG19:12:59:00,160,Educação Presencial,Concluído,2,,18
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Florianópolis,6,Técnico em Química,Integrado,Produção Industrial,Educação Presencial,19AUG19:16:40:00,4080,Educação Presencial,Ativo,1,32,33
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Florianópolis,6,Técnico em Química,Integrado,Produção Industrial,Educação Presencial,19AUG19:16:40:00,4080,Educação Presencial,Ativo,1,32,33
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Florianópolis,6,Técnico em Química,Integrado,Produção Industrial,Educação Presencial,19AUG19:16:40:00,4080,Educação Presencial,Ativo,1,32,33
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Florianópolis,6,Técnico em Química,Integrado,Produção Industrial,Educação Presencial,19AUG19:16:40:00,4080,Educação Presencial,Ativo,1,32,33
Federal,Escolas de Oferta Outros Cursos,MS,INSTITUTO FEDERAL DO MATO GROSSO DO SUL CAMPUS DOURADOS,3,VENDEDOR,,Gestão e Negócios,Educação a Distância,19AUG19:17:15:00,180,Educação a Distância,Concluído,,40,33
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Florianópolis,7,Técnico em Manutenção Automotiva,Subsequente,Controle e Processos Industriais,Educação Presencial,19AUG19:18:31:00,1200,Educação Presencial,Ativo,3,36,33
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Florianópolis,7,Técnico em Manutenção Automotiva,Subsequente,Controle e Processos Industriais,Educação Presencial,19AUG19:18:31:00,1200,Educação Presencial,Ativo,3,36,33
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Florianópolis,7,Técnico em Manutenção Automotiva,Subsequente,Controle e Processos Industriais,Educação Presencial,19AUG19:18:31:00,1200,Educação Presencial,Ativo,3,36,33
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Florianópolis,7,Técnico em Manutenção Automotiva,Subsequente,Controle e Processos Industriais,Educação Presencial,19AUG19:18:31:00,1200,Educação Presencial,Ativo,3,36,33
Federal,Escolas Técnicas,SP,SENAC PENHA,2,FORMAÇÃO BÁSICA EM CONFEITARIA,Concomitante,"Turismo, Hospitalidade e Lazer",Educação Presencial,19AUG19:18:32:00,48,Educação Presencial,Concluído,2,,16
Federal,Escolas Técnicas,SP,SENAC PENHA,2,FORMAÇÃO BÁSICA EM CONFEITARIA,Concomitante,"Turismo, Hospitalidade e Lazer",Educação Presencial,19AUG19:18:32:00,48,Educação Presencial,Concluído,2,,16
Federal,Escolas Técnicas,SP,SENAC PENHA,2,FORMAÇÃO BÁSICA EM CONFEITARIA,Concomitante,"Turismo, Hospitalidade e Lazer",Educação Presencial,19AUG19:18:32:00,48,Educação Presencial,Concluído,2,,16
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Florianópolis Continente,5,Técnico em Guia de Turismo,Subsequente,"Turismo, Hospitalidade e Lazer",Educação Presencial,19AUG19:13:07:00,800,Educação Presencial,Ativo,3,10,5
